Reps, Laps, Date, Int, Diff, S, R, SInc, Grade, Next Grade, Element
2,0,Apr 25 2018 06:48:52,0,0.421,30.477,0.995,1.033,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
3,0,Apr 29 2018 11:15:35,4,0.421,31.476,0.986,1.032,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
4,0,May 07 2018 07:22:46,8,0.421,32.476,0.974,1.031,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
5,0,May 14 2018 07:07:03,7,0.421,33.475,0.978,0.810,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
6,0,May 15 2018 05:43:05,1,0.421,27.119,0.995,2.596,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
2,0,May 14 2018 07:03:38,10,0.105,111.405,0.974,0.571,4,4,Item #7: 3 ?清晰明白 . 模糊不清会妨 ...
3,0,May 15 2018 05:57:49,1,0.105,63.637,0.995,3.432,4,4,Item #7: 3 ?清晰明白 . 模糊不清会妨 ...
2,0,Apr 25 2018 06:48:21,0,0.421,30.209,0.995,1.033,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
3,0,Apr 29 2018 11:15:09,4,0.421,31.208,0.986,1.032,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
4,0,May 07 2018 07:18:25,8,0.421,32.208,0.974,1.031,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
5,0,May 14 2018 07:09:38,7,0.421,33.207,0.977,0.814,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
6,0,May 15 2018 05:48:24,1,0.421,27.018,0.995,2.606,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
2,0,May 14 2018 06:52:36,19,0.000,151.742,0.945,0.543,4,4,Item #18: 再论层次与分类. 任何思维导图 ...
2,0,May 14 2018 06:57:42,19,0.000,151.818,0.945,0.543,3,4,Item #19: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
2,0,May 14 2018 06:50:32,19,0.000,151.796,0.945,0.543,4,3,Item #20: 层次和分类人门. 为了控制和应用大脑无穷的能力，. 你需要用[ ...
1,1,May 14 2018 06:52:09,19,0.737,1.000,0.054,3.134,2,4,Item #21: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
1,5,May 24 2018 07:27:41,1,0.737,1.000,0.898,3.163,2,3,Item #21: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
1,6,May 28 2018 10:10:51,3,0.737,1.000,0.901,3.161,2,4,Item #21: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
1,7,May 31 2018 12:23:46,2,0.737,1.000,0.932,3.028,2,4,Item #21: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
2,7,Jun 01 2018 09:12:46,1,0.737,3.028,0.913,2.425,4,4,Item #21: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
3,7,Jun 04 2018 07:57:27,3,0.737,7.344,0.903,1.943,4,4,Item #21: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
2,0,May 14 2018 07:07:26,19,0.000,151.830,0.945,0.543,4,3,Item #22: 对照而言，. 以列单形式出现的线性笔记直接与思维的工作原理相左， ...
2,0,May 14 2018 06:50:21,19,0.000,151.779,0.945,0.543,4,4,Item #23: 对照而言，. 以列单形式出现的线性笔记直接与思维的工作原理相左， ...
1,1,May 14 2018 07:04:15,19,0.053,1.000,0.098,8.825,2,3,Item #24: 再论层次与分类. 任何思维导图 ...
2,1,May 15 2018 05:47:55,1,0.053,8.825,0.905,3.117,3,4,Item #24: 再论层次与分类. 任何思维导图 ...
2,0,May 11 2018 07:58:15,16,0.000,121.376,0.965,0.748,4,4,Item #25: 对照而言，. 以列单形式出现的线性笔记直接与思维的工作原理相左， ...
3,0,May 14 2018 07:02:03,3,0.000,90.825,0.995,0.594,4,4,Item #25: 对照而言，. 以列单形式出现的线性笔记直接与思维的工作原理相左， ...
4,0,May 15 2018 05:43:33,1,0.000,53.918,0.995,2.971,4,4,Item #25: 对照而言，. 以列单形式出现的线性笔记直接与思维的工作原理相左， ...
2,0,May 14 2018 06:51:15,19,0.000,151.739,0.945,0.543,4,4,Item #26: 再论层次与分类. 任何思维导图 ...
1,1,May 14 2018 06:55:09,19,0.053,1.000,0.098,8.856,2,4,Item #27: 再论层次与分类. 任何思维导图 ...
2,1,May 15 2018 05:43:55,1,0.053,8.856,0.905,3.102,4,4,Item #27: 再论层次与分类. 任何思维导图 ...
1,2,May 15 2018 05:46:32,1,0.684,2.562,0.964,2.255,2,4,Item #28: 再论层次与分类. 任何思维导图 ...
2,2,May 16 2018 06:56:55,1,0.684,5.776,0.958,1.441,4,4,Item #28: 再论层次与分类. 任何思维导图 ...
3,2,May 19 2018 09:36:06,3,0.684,8.325,0.945,1.733,4,4,Item #28: 再论层次与分类. 任何思维导图 ...
4,2,May 25 2018 06:47:50,6,0.684,14.428,0.928,1.550,4,4,Item #28: 再论层次与分类. 任何思维导图 ...
2,0,May 08 2018 07:02:25,13,0.053,120.794,0.971,0.985,4,4,Item #29: 再论层次与分类. 任何思维导图 ...
3,0,May 14 2018 06:54:32,6,0.053,119.041,0.995,0.560,4,4,Item #29: 再论层次与分类. 任何思维导图 ...
4,0,May 15 2018 05:40:33,1,0.053,66.675,0.995,2.730,4,4,Item #29: 再论层次与分类. 任何思维导图 ...
1,1,May 14 2018 07:00:09,18,0.053,1.069,0.101,8.273,2,4,Item #34: 技法
2,1,May 15 2018 05:57:26,1,0.053,8.847,0.910,3.100,4,3,Item #34: 技法
1,1,May 07 2018 07:22:34,11,0.053,1.000,0.203,9.162,1,3,Item #35: 布局
2,1,May 08 2018 07:02:16,1,0.053,9.162,0.901,2.904,3,4,Item #35: 布局
3,1,May 14 2018 07:11:22,6,0.053,26.604,0.933,0.902,4,4,Item #35: 布局
4,1,May 15 2018 05:57:02,1,0.053,23.994,0.995,3.709,4,4,Item #35: 布局
2,0,May 14 2018 07:03:13,18,0.000,144.421,0.950,0.547,4,4,Item #36: 建议
1,1,May 14 2018 07:15:04,18,1.000,2.707,0.071,0.617,1,4,Item #37: 突出重点
2,1,May 15 2018 05:52:25,1,1.000,1.670,0.964,3.144,4,4,Item #37: 突出重点
2,0,May 14 2018 07:12:10,18,0.000,144.437,0.950,0.546,4,4,Item #38: 使用联想
1,1,May 14 2018 07:06:47,18,1.000,1.000,0.071,1.922,1,4,Item #40: 形成个人风格
1,2,May 21 2018 07:06:05,6,1.000,1.000,0.718,2.008,2,4,Item #40: 形成个人风格
2,2,May 22 2018 08:31:11,1,1.000,2.008,0.894,2.193,4,4,Item #40: 形成个人风格
3,2,May 25 2018 06:47:35,3,1.000,4.405,0.858,1.823,4,4,Item #40: 形成个人风格
1,3,Jun 09 2018 20:08:51,9,1.000,1.000,0.885,3.451,2,4,Item #40: 形成个人风格
2,0,May 14 2018 07:00:26,18,0.000,137.058,0.968,0.552,4,4,Item #44: 1 突出重点. 强调重点，如我们一向所见， ...
2,0,May 19 2018 09:35:36,3,0.000,61.163,0.994,2.711,4,4,Item #44: 1 突出重点. 强调重点，如我们一向所见， ...
1,1,May 03 2018 13:35:00,7,0.789,1.681,0.359,1.280,1,3,Item #45: 1 突出重点. 强调重点，如我们一向所见， ...
1,1,May 14 2018 06:56:46,7,0.789,1.222,0.812,2.718,2,4,Item #45: 1 突出重点. 强调重点，如我们一向所见， ...
2,1,May 15 2018 05:49:14,1,0.789,3.319,0.921,1.953,4,4,Item #45: 1 突出重点. 强调重点，如我们一向所见， ...
3,1,May 17 2018 11:52:22,2,0.789,6.484,0.931,1.851,4,4,Item #45: 1 突出重点. 强调重点，如我们一向所见， ...
4,1,May 22 2018 08:31:27,5,0.789,12.002,0.924,1.525,4,4,Item #45: 1 突出重点. 强调重点，如我们一向所见， ...
5,1,May 30 2018 09:06:46,8,0.789,18.301,0.932,1.615,4,4,Item #45: 1 突出重点. 强调重点，如我们一向所见， ...
2,0,Apr 30 2018 16:09:33,4,0.105,65.105,0.991,1.255,4,4,Item #46: 1 突出重点. 强调重点，如我们一向所见， ...
3,0,May 05 2018 07:46:29,5,0.105,81.702,0.993,1.310,4,4,Item #46: 1 突出重点. 强调重点，如我们一向所见， ...
4,0,May 14 2018 07:11:09,9,0.105,107.052,0.988,0.575,4,4,Item #46: 1 突出重点. 强调重点，如我们一向所见， ...
1,3,May 15 2018 05:56:29,1,0.737,1.000,0.905,3.292,2,4,Item #47: 1 突出重点. 强调重点，如我们一向所见， ...
1,4,May 23 2018 06:51:41,7,0.737,1.000,0.799,3.266,2,4,Item #47: 1 突出重点. 强调重点，如我们一向所见， ...
2,4,May 24 2018 07:27:11,1,0.737,3.266,0.898,2.264,4,4,Item #47: 1 突出重点. 强调重点，如我们一向所见， ...
3,4,May 27 2018 07:32:05,3,0.737,7.395,0.908,2.250,4,4,Item #47: 1 突出重点. 强调重点，如我们一向所见， ...
4,4,Jun 02 2018 11:53:49,6,0.737,16.636,0.916,2.063,4,4,Item #47: 1 突出重点. 强调重点，如我们一向所见， ...
1,1,May 14 2018 06:54:04,18,0.053,1.000,0.102,8.927,2,4,Item #48: 1 突出重点. 强调重点，如我们一向所见， ...
2,1,May 15 2018 05:54:50,1,0.053,8.927,0.904,3.056,4,4,Item #48: 1 突出重点. 强调重点，如我们一向所见， ...
1,2,May 01 2018 16:43:30,1,0.947,1.000,0.898,2.211,2,4,Item #49: 2 ?发挥联想. 联想是改善记 ...
2,2,May 02 2018 12:00:03,1,0.947,2.211,0.919,3.478,4,4,Item #49: 2 ?发挥联想. 联想是改善记 ...
1,3,May 14 2018 06:52:56,7,0.947,1.130,0.909,2.169,2,4,Item #49: 2 ?发挥联想. 联想是改善记 ...
2,3,May 15 2018 05:48:46,1,0.947,2.451,0.915,2.223,4,4,Item #49: 2 ?发挥联想. 联想是改善记 ...
3,3,May 17 2018 11:52:32,2,0.947,5.448,0.908,1.222,4,4,Item #49: 2 ?发挥联想. 联想是改善记 ...
4,3,May 22 2018 08:31:00,5,0.947,6.658,0.910,1.485,4,4,Item #49: 2 ?发挥联想. 联想是改善记 ...
1,1,May 10 2018 07:05:44,14,1.000,1.000,0.131,1.992,1,4,Item #51: 运动也是一个主要的助记手段，可 ...
2,1,May 11 2018 07:57:22,1,1.000,1.992,0.897,2.224,4,3,Item #51: 运动也是一个主要的助记手段，可 ...
3,1,May 14 2018 07:02:46,3,1.000,4.431,0.855,0.765,3,4,Item #51: 运动也是一个主要的助记手段，可 ...
1,2,May 28 2018 10:10:07,13,1.000,1.000,0.664,1.933,1,4,Item #51: 运动也是一个主要的助记手段，可 ...
2,2,May 29 2018 09:28:23,1,1.000,1.933,0.903,1.819,4,4,Item #51: 运动也是一个主要的助记手段，可 ...
3,2,May 31 2018 12:22:59,2,1.000,3.517,0.891,2.137,4,4,Item #51: 运动也是一个主要的助记手段，可 ...
1,2,Apr 29 2018 11:16:01,1,0.737,1.000,0.921,4.495,2,4,Item #53: 运动也是一个主要的助记手段，可 ...
1,3,May 07 2018 07:21:59,7,0.737,1.000,0.856,3.179,2,4,Item #53: 运动也是一个主要的助记手段，可 ...
2,3,May 08 2018 07:00:09,1,0.737,3.179,0.901,2.361,4,4,Item #53: 运动也是一个主要的助记手段，可 ...
3,3,May 11 2018 07:58:25,3,0.737,7.505,0.904,1.431,4,4,Item #53: 运动也是一个主要的助记手段，可 ...
4,3,May 14 2018 07:10:01,3,0.737,10.740,0.959,1.419,4,3,Item #53: 运动也是一个主要的助记手段，可 ...
5,3,May 15 2018 05:56:54,1,0.737,15.245,0.991,1.660,3,4,Item #53: 运动也是一个主要的助记手段，可 ...
6,3,May 20 2018 07:47:24,5,0.737,25.312,0.966,1.822,4,4,Item #53: 运动也是一个主要的助记手段，可 ...
7,3,May 28 2018 10:10:35,8,0.737,46.129,0.967,1.022,4,3,Item #53: 运动也是一个主要的助记手段，可 ...
2,0,May 14 2018 07:01:28,18,0.000,144.086,0.950,0.547,4,3,Item #54: 运动也是一个主要的助记手段，可 ...
1,1,May 11 2018 07:57:56,15,0.684,1.000,0.112,4.949,2,4,Item #55: 运动也是一个主要的助记手段，可 ...
2,1,May 12 2018 09:04:27,1,0.684,4.949,0.896,2.048,4,4,Item #55: 运动也是一个主要的助记手段，可 ...
1,2,May 15 2018 05:53:16,1,0.684,1.000,0.990,4.895,2,4,Item #55: 运动也是一个主要的助记手段，可 ...
2,2,May 16 2018 06:56:20,1,0.684,4.895,0.896,2.193,4,4,Item #55: 运动也是一个主要的助记手段，可 ...
3,2,May 19 2018 09:35:44,3,0.684,10.734,0.935,1.299,4,4,Item #55: 运动也是一个主要的助记手段，可 ...
4,2,May 25 2018 06:47:43,6,0.684,13.948,0.944,1.574,4,4,Item #55: 运动也是一个主要的助记手段，可 ...
1,1,May 15 2018 05:58:25,11,0.737,2.841,0.195,1.013,2,4,Item #57: 总结. 我们介绍了构建知识的2 ...
1,2,May 23 2018 06:50:40,7,0.737,1.000,0.774,3.266,1,4,Item #57: 总结. 我们介绍了构建知识的2 ...
2,2,May 24 2018 07:26:22,1,0.737,3.266,0.898,2.264,4,4,Item #57: 总结. 我们介绍了构建知识的2 ...
3,2,May 27 2018 07:31:46,3,0.737,7.396,0.908,2.249,4,4,Item #57: 总结. 我们介绍了构建知识的2 ...
4,2,Jun 02 2018 11:53:56,6,0.737,16.636,0.916,2.063,4,4,Item #57: 总结. 我们介绍了构建知识的2 ...
2,0,May 15 2018 22:58:17,12,0.000,114.066,0.967,2.249,4,4,Item #58: 总结. 我们介绍了构建知识的2 ...
2,0,May 14 2018 07:07:19,15,0.000,131.197,0.958,0.554,4,3,Item #63: 2 ?发挥联想. 联想是改善记 ...
1,3,May 05 2018 07:47:03,1,0.053,1.000,0.898,12.124,2,4,Item #64: 2 ?发挥联想. 联想是改善记 ...
2,3,May 06 2018 12:58:59,1,0.053,12.124,0.880,2.725,4,4,Item #64: 2 ?发挥联想. 联想是改善记 ...
3,3,May 14 2018 07:08:34,8,0.053,33.040,0.935,0.817,4,4,Item #64: 2 ?发挥联想. 联想是改善记 ...
4,3,May 15 2018 05:53:33,1,0.053,26.991,0.995,3.802,4,4,Item #64: 2 ?发挥联想. 联想是改善记 ...
2,0,May 14 2018 07:02:21,15,0.000,131.144,0.958,0.555,4,4,Item #66: 2 ?发挥联想. 联想是改善记 ...
1,1,May 14 2018 07:20:32,10,0.053,1.000,0.224,8.789,2,4,Item #74: 总结. 我们介绍了构建知识的2 ...
2,1,May 15 2018 05:58:06,1,0.053,8.789,0.905,3.133,4,4,Item #74: 总结. 我们介绍了构建知识的2 ...
2,0,May 15 2018 22:55:25,12,0.000,114.049,0.967,2.249,4,3,Item #75: 总结. 我们介绍了构建知识的2 ...
1,1,May 07 2018 07:20:26,3,1.000,1.293,0.644,1.719,2,4,Item #77: 组织卡片时应该？. 2. 3
2,1,May 08 2018 07:01:40,1,1.000,2.222,0.923,2.477,4,4,Item #77: 组织卡片时应该？. 2. 3
3,1,May 14 2018 07:23:10,6,1.000,5.505,0.752,0.741,4,4,Item #77: 组织卡片时应该？. 2. 3
1,1,May 07 2018 07:23:59,3,0.053,1.634,0.644,4.147,1,4,Item #78: 可以通过辅助推理、联想的手段来 ...
2,1,May 08 2018 07:00:44,1,0.053,6.776,0.939,4.868,4,4,Item #78: 可以通过辅助推理、联想的手段来 ...
3,1,May 14 2018 07:21:03,6,0.053,32.984,0.911,1.053,4,4,Item #78: 可以通过辅助推理、联想的手段来 ...
4,1,May 15 2018 22:56:39,2,0.053,34.739,0.995,3.174,4,3,Item #78: 可以通过辅助推理、联想的手段来 ...
2,0,May 07 2018 07:19:44,3,0.053,51.098,0.995,1.756,3,4,Item #79: 如前所述，我们都是与众不同的个体。思维导图应该反映出我们：
3,0,May 14 2018 06:57:23,7,0.053,89.708,0.986,0.591,4,4,Item #79: 如前所述，我们都是与众不同的个体。思维导图应该反映出我们：
4,0,May 15 2018 05:49:07,1,0.053,53.035,0.995,3.197,4,4,Item #79: 如前所述，我们都是与众不同的个体。思维导图应该反映出我们：
1,2,May 08 2018 06:59:44,1,0.053,1.000,0.962,12.933,2,4,Item #80: 画思维导图的时候你应该遵循一些规则：. 提示：联想思维导图的方法优势的重点。
2,2,May 09 2018 15:47:57,1,0.053,12.933,0.866,2.354,4,4,Item #80: 画思维导图的时候你应该遵循一些规则：. 提示：联想思维导图的方法优势的重点。
3,2,May 14 2018 06:58:57,5,0.053,30.440,0.963,0.848,4,4,Item #80: 画思维导图的时候你应该遵循一些规则：. 提示：联想思维导图的方法优势的重点。
4,2,May 15 2018 05:48:19,1,0.053,25.815,0.995,2.390,4,4,Item #80: 画思维导图的时候你应该遵循一些规则：. 提示：联想思维导图的方法优势的重点。
5,2,May 23 2018 06:50:14,8,0.053,61.708,0.968,2.785,4,3,Item #80: 画思维导图的时候你应该遵循一些规则：. 提示：联想思维导图的方法优势的重点。
2,0,May 07 2018 07:20:43,3,0.053,51.091,0.995,1.756,4,4,Item #81: 另外，你的思维导图越具有个性，你越是：
3,0,May 14 2018 07:04:27,7,0.053,89.732,0.986,0.590,4,4,Item #81: 另外，你的思维导图越具有个性，你越是：
4,0,May 15 2018 05:40:27,1,0.053,52.918,0.995,3.200,4,4,Item #81: 另外，你的思维导图越具有个性，你越是：
1,2,May 15 2018 05:54:03,1,0.053,1.000,0.930,9.754,2,4,Item #84: 10.4.2布局 . 1 ?突出层次. 如第9所述 ...
2,2,May 16 2018 06:55:59,1,0.053,9.754,0.896,3.229,4,4,Item #84: 10.4.2布局 . 1 ?突出层次. 如第9所述 ...
2,0,May 14 2018 06:51:34,2,0.211,9.058,0.953,1.329,4,4,Item #130: 细节上
3,0,May 15 2018 05:56:05,1,0.211,12.038,0.989,2.729,4,4,Item #130: 细节上
4,0,May 23 2018 06:49:37,8,0.211,32.845,0.932,1.567,4,4,Item #130: 细节上
1,1,May 30 2018 09:06:17,3,0.053,1.860,0.677,4.078,2,4,Item #133: 感受呼吸，弄清自己是怎么走神的。几分钟后，你就可以不再[ ...
2,1,May 31 2018 12:23:33,1,0.053,7.584,0.938,4.858,4,4,Item #133: 感受呼吸，弄清自己是怎么走神的。几分钟后，你就可以不再[ ...
1,1,Jun 13 2018 16:29:40,18,0.500,1.000,0.196,10.314,2,4,Item #161: 回忆一下你的决定如果你想有[.]，就得有更多的自我意识
1,1,May 15 2018 05:44:19,1,0.684,1.000,0.990,5.043,2,4,Item #183: 4
2,1,May 16 2018 06:56:29,1,0.684,5.043,0.895,2.179,4,3,Item #183: 4
3,1,May 19 2018 09:35:58,3,0.684,10.990,0.937,1.258,3,4,Item #183: 4
4,1,May 25 2018 06:47:59,6,0.684,13.830,0.945,1.581,4,4,Item #183: 4
1,1,Jun 01 2018 09:12:35,5,0.053,1.000,0.500,11.006,2,4,Item #185: 1.原地不动，安静坐好。坐在 ...
2,1,Jun 02 2018 11:53:36,1,0.053,11.006,0.889,2.836,4,4,Item #185: 1.原地不动，安静坐好。坐在 ...
2,0,May 21 2018 07:04:12,2,0.000,43.398,0.993,2.183,4,4,Item #199: 有用的基本分类概念分为哪些类型？
2,0,May 14 2018 06:49:23,2,0.105,9.821,0.953,1.098,4,4,Item #206: 理论上
3,0,May 15 2018 05:49:59,1,0.105,10.780,0.990,3.294,4,4,Item #206: 理论上
2,0,May 14 2018 07:08:58,2,0.105,46.947,0.994,0.713,4,4,Item #222: 1
3,0,May 15 2018 05:53:51,1,0.105,33.476,0.995,2.524,4,3,Item #222: 1
1,1,May 30 2018 09:07:51,4,0.053,2.251,0.544,3.035,2,4,Item #257: 意志力实验：. 回忆一下你的 ...
2,1,May 31 2018 12:23:22,1,0.053,6.831,0.948,5.897,4,4,Item #257: 意志力实验：. 回忆一下你的 ...
1,1,May 14 2018 06:55:35,1,0.263,2.077,0.987,2.450,2,4,Item #271: 5
2,1,May 15 2018 05:54:34,1,0.263,5.088,0.953,1.782,4,4,Item #271: 5
3,1,May 17 2018 11:52:15,2,0.263,9.065,0.955,2.241,4,4,Item #271: 5
4,1,May 22 2018 08:30:52,5,0.263,20.314,0.945,1.902,4,3,Item #271: 5
1,1,May 14 2018 06:52:31,2,0.053,1.000,0.703,8.866,2,4,Item #277: 3
2,1,May 15 2018 05:42:56,1,0.053,8.866,0.905,3.096,4,4,Item #277: 3
2,0,May 14 2018 07:04:38,2,0.105,47.149,0.994,0.711,4,4,Item #282: 基本问题
3,0,May 15 2018 05:43:16,1,0.105,33.517,0.995,2.524,4,3,Item #282: 基本问题
1,1,May 14 2018 06:53:39,2,0.053,1.000,0.941,8.864,2,3,Item #338: 7
2,1,May 15 2018 05:43:45,1,0.053,8.864,0.905,3.097,3,4,Item #338: 7
1,1,May 15 2018 05:41:11,1,0.684,1.000,0.990,5.077,1,4,Item #351: 6
2,1,May 16 2018 06:55:19,1,0.684,5.077,0.895,2.176,4,4,Item #351: 6
3,1,May 19 2018 09:35:28,3,0.684,11.049,0.937,1.249,4,3,Item #351: 6
4,1,May 25 2018 06:47:26,6,0.684,13.804,0.945,1.582,3,4,Item #351: 6
1,1,Jun 04 2018 07:57:00,9,0.000,1.000,0.258,16.460,2,4,Item #354: 意志力实验：. 回忆一下你的 ...
2,1,Jun 06 2018 09:03:58,2,0.000,16.460,0.806,3.833,4,4,Item #354: 意志力实验：. 回忆一下你的 ...
2,0,May 31 2018 12:23:15,3,0.000,19.667,0.923,4.724,4,4,Item #373: 意志力实验：. 回忆一下你的 ...
2,0,May 14 2018 06:50:09,2,0.105,46.805,0.994,0.715,3,4,Item #377: 8
3,0,May 15 2018 05:42:02,1,0.105,33.469,0.995,2.525,4,3,Item #377: 8
2,0,May 14 2018 06:52:45,2,0.105,47.062,0.994,0.715,4,4,Item #409: 时间上
3,0,May 15 2018 05:54:11,1,0.105,33.670,0.995,2.520,4,4,Item #409: 时间上
2,0,May 14 2018 06:47:51,2,0.105,46.797,0.994,0.716,4,4,Item #414: 2
3,0,May 15 2018 05:46:49,1,0.105,33.525,0.995,2.523,4,3,Item #414: 2
2,0,May 14 2018 07:09:33,2,1.000,3.305,0.953,0.865,4,3,Item #419: 实际上
3,0,May 15 2018 05:47:20,1,1.000,2.858,0.970,2.488,3,4,Item #419: 实际上
1,1,Jun 09 2018 20:09:29,18,1.000,2.598,0.771,2.052,2,4,Item #419: 实际上
